Date;Time;Severity;Message
2026/06/25;13:44:00.410;INFO;[Config    ] Configuring the converter.;
2026/06/25;13:44:00.411;INFO;[Config    ] Configuration finished successfully..;
2026/06/25;13:44:00.411;INFO;================================================================================;
2026/06/25;13:44:00.411;INFO;[Validation] Validating acc_csc_001_001.xosc.;
2026/06/25;13:44:00.411;INFO;--------------------------------------------------------------------------------;
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve catalog directory './Catalogs/Controllers' () (21, 17);
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve catalog directory './Catalogs/Pedestrians' () (15, 17);
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve catalog directory './Catalogs/Trajectory' () (18, 17);
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve catalog directory './OpenSCENARIO/Catalogs/Vehicles' () (12, 17);
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve entry 'DefaultDriver' in catalog 'ControllerCatalog' (34, 8);
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve entry 'bus' in catalog 'VehicleCatalog' (32, 6);
2026/06/25;13:44:00.417;ERROR;[Validation][API    ] [ERROR] Cannot resolve entry 'car_ego' in catalog 'VehicleCatalog' (29, 6);
2026/06/25;13:44:00.417;ERROR;[Validation] Validation failed with 7 errors and 0 warnings.;
2026/06/25;13:44:00.418;FATAL;[Validation] Failed to validate acc_csc_001_001.xosc.;
