Date;Time;Severity;Message
2026/06/25;16:10:55.110;INFO;[Config    ] Configuring the converter.;
2026/06/25;16:10:55.110;INFO;[Config    ] Configuration finished successfully..;
2026/06/25;16:10:55.110;INFO;================================================================================;
2026/06/25;16:10:55.110;INFO;[Validation] Validating acc_csc_004_001.xosc.;
2026/06/25;16:10:55.111;INFO;--------------------------------------------------------------------------------;
2026/06/25;16:10:55.123;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/25;16:10:55.152;INFO;--------------------------------------------------------------------------------;
2026/06/25;16:10:55.242;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/25;16:10:55.242;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/25;16:10:55.242;INFO;[Validation] Validation finished. Duration: 131ms.;
2026/06/25;16:10:55.242;INFO;================================================================================;
2026/06/25;16:10:55.242;INFO;[Loading   ] Loading acc_csc_004_001.xosc;
2026/06/25;16:10:55.250;INFO;[Loading   ] Loading finished. Duration: 8ms;
2026/06/25;16:10:55.250;INFO;================================================================================;
2026/06/25;16:10:55.250;INFO;[Conversion] Converting acc_csc_004_001.xosc;
2026/06/25;16:10:57.747;WARN;[Conversion][Entity       ] Entity: Ego. Traffic template file "car_ego" cannot be located in either the project or installation directory. Check the vehicle name defined in ScenarioObject. This entity will be mapped with alternative methods;
2026/06/25;16:10:57.747;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "acc_csc_004_001_Ego" is found in project directory;
2026/06/25;16:10:57.747;WARN;[Conversion][Entity       ] Entity: TV. Traffic template file "bus" cannot be located in either the project or installation directory. Check the vehicle name defined in ScenarioObject. This entity will be mapped with alternative methods;
2026/06/25;16:10:57.747;INFO;[Conversion][Entity       ] Entity: TV. Traffic template file "acc_csc_004_001_TV" is found in project directory. File "acc_csc_004_001_TV" updated in project directory.;
2026/06/25;16:10:57.747;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/25;16:10:57.747;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion][Entity       ] Entity: TV. Converting Maneuvers.;
2026/06/25;16:10:57.747;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_cutin_event. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion]        [Action       ] Action: TV_cutin_action. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion]        [Condition    ] Condition: TV_cutin_start. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_maintain_speed_event. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion]        [Action       ] Action: TV_maintain_speed_action. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion]        [Condition    ] Condition: TV_maintain_speed_condition. Converted.;
2026/06/25;16:10:57.747;INFO;[Conversion] Conversion finished. Duration: 2s 496ms;
2026/06/25;16:10:57.747;INFO;================================================================================;
2026/06/25;16:10:57.747;INFO;[Write     ] Writing InfoFiles;
2026/06/25;16:10:57.751;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/25;16:10:57.751;INFO;[Write     ] TestRun file path: Data\TestRun\acc_csc_004_001;
2026/06/25;16:10:57.751;INFO;[Write     ] Road file path: Data\Road\acc_csc_004_001_road.rd5;
2026/06/25;16:10:57.752;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260625_161055_acc_csc_004_001.txt;
2026/06/25;16:10:57.753;INFO;[Write     ] Writing finished. Duration: 5ms;
2026/06/25;16:10:57.753;INFO;================================================================================;
2026/06/25;16:10:57.753;INFO;Process finished successfully. Total conversion time: 2s 642ms;
2026/06/25;16:10:57.753;INFO;================================================================================;
