Date;Time;Severity;Message
2026/06/30;14:54:21.050;INFO;[Config    ] Configuring the converter.;
2026/06/30;14:54:21.051;INFO;[Config    ] Configuration finished successfully..;
2026/06/30;14:54:21.051;INFO;================================================================================;
2026/06/30;14:54:21.051;INFO;[Validation] Validating aeb_csc_001.xosc.;
2026/06/30;14:54:21.051;INFO;--------------------------------------------------------------------------------;
2026/06/30;14:54:21.072;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/30;14:54:21.080;INFO;--------------------------------------------------------------------------------;
2026/06/30;14:54:21.116;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/30;14:54:21.116;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/30;14:54:21.116;INFO;[Validation] Validation finished. Duration: 65ms.;
2026/06/30;14:54:21.116;INFO;================================================================================;
2026/06/30;14:54:21.116;INFO;[Loading   ] Loading aeb_csc_001.xosc;
2026/06/30;14:54:21.124;INFO;[Loading   ] Loading finished. Duration: 7ms;
2026/06/30;14:54:21.124;INFO;================================================================================;
2026/06/30;14:54:21.124;INFO;[Conversion] Converting aeb_csc_001.xosc;
2026/06/30;14:54:21.945;WARN;[Conversion][Entity       ] Entity: Ego. Traffic template file "car_ego" cannot be located in either the project or installation directory. Check the vehicle name defined in ScenarioObject. This entity will be mapped with alternative methods;
2026/06/30;14:54:21.945;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "aeb_csc_001_Ego" is found in project directory;
2026/06/30;14:54:21.945;WARN;[Conversion][Entity       ] Entity: TV. Traffic template file "bus" cannot be located in either the project or installation directory. Check the vehicle name defined in ScenarioObject. This entity will be mapped with alternative methods;
2026/06/30;14:54:21.945;INFO;[Conversion][Entity       ] Entity: TV. Traffic template file "aeb_csc_001_TV" is found in project directory. File "aeb_csc_001_TV" updated in project directory.;
2026/06/30;14:54:21.945;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/30;14:54:21.945;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/30;14:54:21.945;INFO;[Conversion][Entity       ] Entity: TV. Converting Maneuvers.;
2026/06/30;14:54:21.945;INFO;[Conversion]    [Event        ] Event: act_1->TV_stop->TV_stop_maneuver->TV_stop_event. Converted.;
2026/06/30;14:54:21.945;INFO;[Conversion]        [Action       ] Action: TV_stop_action. Converted.;
2026/06/30;14:54:21.945;INFO;[Conversion]        [Condition    ] Condition: TV_stop_start. Converted.;
2026/06/30;14:54:21.945;INFO;[Conversion] Conversion finished. Duration: 820ms;
2026/06/30;14:54:21.945;INFO;================================================================================;
2026/06/30;14:54:21.945;INFO;[Write     ] Writing InfoFiles;
2026/06/30;14:54:21.948;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/30;14:54:21.948;INFO;[Write     ] TestRun file path: Data\TestRun\aeb_csc_001;
2026/06/30;14:54:21.949;INFO;[Write     ] Road file path: Data\Road\aeb_csc_001_road.rd5;
2026/06/30;14:54:21.949;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260630_145421_aeb_csc_001.txt;
2026/06/30;14:54:21.950;INFO;[Write     ] Writing finished. Duration: 4ms;
2026/06/30;14:54:21.950;INFO;================================================================================;
2026/06/30;14:54:21.950;INFO;Process finished successfully. Total conversion time: 898ms;
2026/06/30;14:54:21.950;INFO;================================================================================;
